1	2.5641E-06
2	1.08262E-06
3	1.08262E-06
4	1.25356E-06
5	8.54701E-07
6	1.48148E-06
7	6.26781E-07
8	7.97721E-07
9	1.82336E-06
10	2.96296E-06
11	4.38746E-06
12	7.17949E-06
13	1.02564E-05
14	1.11111E-05
15	1.88604E-05
16	2.70655E-05
17	3.35613E-05
18	4.2792E-05
19	4.47293E-05
20	6.62678E-05
21	7.57835E-05
22	7.78917E-05
23	9.34473E-05
24	9.31624E-05
25	9.84046E-05
26	0.000101083
27	9.33333E-05
28	8.33618E-05
29	6.39886E-05
30	6.2735E-05
31	4.94017E-05
32	3.78917E-05
33	2.99145E-05
34	2.76923E-05
35	2.87179E-05
36	2.09687E-05
37	2.52991E-05
38	2.63818E-05
39	2.83761E-05
40	2.11966E-05
41	1.46439E-05
42	1.16809E-05
43	1.59544E-05
44	1.81766E-05
45	1.89174E-05
46	1.45869E-05
47	1.37322E-05
48	1.16239E-05
49	1.1453E-05
50	7.97721E-06
51	4.78632E-06
52	3.9886E-06
